Name,Price
Еспресо,75
Флет вайт,95
Капучино,95
Лате,100
Апельсинове капучино,115
Мокко,120
Шоколад,90
Шоколад з морозивом,130
Шоколад по-італійськи,95
Шоколад по-віденськи,130
Какао на шоколаді,95
Какао на порошку,85
V-60,110
Каліта,110
Кемікс,110
Аеропрес,110
Фільтр кава,80
Мао Фен,85
Лундцзин,85
Жасминова Перлина,85
Срібні Голки,100
Залізна Богиня,100
Шу Пуер,110
Ройбуш,85
Літня Ніч,85
Пастушка,85
М'ята,85
Обліпиха,140
Імбир,140
Гранатовий,140
Сенча Хатцу Мідорі,110
Гекуро Карігане,110
Матча чай,190
Матча з апельсиновим фрешем,200
Матча-лате безлактозне/кокосове/вівсяне/фундукове,160
Апельсин,170
Грейпфрут,170
Морква,100
Яблуко,100
Буряк,100
Селера,180
Ананасовий,250
Цитрус,180
Авокадо,230
Манго-кокос,180
Манго-маракуя,180
Манго-ананас-кокос,180
Кавово-банановий,160
Молочно-банановий,160
Кокосово-банановий,160
Еспресо тонік,165
Глясе,160
Холодне лате,140
Трояндовий напій,100
Матча тонік,180
Комбуча,120
Фріц кола,130
Морозиво з трояндою,195
Світ Кави,200
Афогато,130
Манго сорбет,230
Полуничне,190
Кокосове веганське,200
Макаронс,110
Круасан,80
Сирник,120
Мигдалевий круасан,120
Вівсяне тістечко,85
Шоколадно-горіхове тістечко,100
Лимонна тарта,90
Захер,100
Дзядек,110
Шарлотка,110
Струдель,110
Груші з крамблами,150
Французький сніданок з лососем,360
Французький сніданок з прошуто,360
Яйця цілі смажені,180
Яєшня-бовтанка,180
Овочевий омлет,200
Омлет зі шпинатом,200
Йогурт з гранолою,110
Йогурт з фруктами,170
Фруктовий салат,170
Французькі тости,170
Тости з хумусом та авокадо,190
Тост з гуакамоле,230
Вівсяна каша,90
Хумус та сирна піта,170
Тост з козячим сиром та песто,170
Салат з пармезаном,230
Салат з індичкою,230
Салат з прошуто,300
Салат з авокадо,250
Салат з козячим сиром,350
Круасан з прошуто та в’яленими томатами,200
Круасан з сиром Бюш та помідорами,170
Сендвічі з індичкою,190
Сендвічі з овочами,200
Сендвічі з козячим сиром та грушею,170
Сендвічі з лососем,170
Яйця Бенедикт з лососем,320
Яйця Бенедикт з авокадо,280
Яйця Бенедикт з беконом,280
Яйця Бенедикт з козячим сиром,320
Гофри з лососем,230
Гофри з шинкою та грибами,200
Гофри з беконом,200
Гофри шоколадно-бананова,170
Гофри зі згущеним молоком,200
"Lluerna/ Іспанія / Біле / Сухе /   0,750",1125
"Blonde by Nature 2020  / Австрія / Біле / Сухе /   0,750",900
"Dinavolino/ Італія/ Біле/ Сухе/ 0,750",975
"Bandita 2017 / Італія / Червоне / Сухе /    0,750",1350
"Vino Rosso 2019 / Італія / Червоне / Сухе /  0,750",705
"Blaufrankisch / Австрія / Червоне / Сухе / 0,750",1200
"Mogul 2021 / Франція / Біле / Сухе / 0,750",900
"Pittnauer Rose Koning / Австрія / Рожеве / Сухе / 0,750",750
"Weiss / Німеччина / Біле / Сухе / 0,750",1350
Keep on Punching / Південна Африка / Біле / Сухе / 0.750,1350
