Name,Price
Кава по східному Преміум Вірменка,72
Кава по-східному Суміш Вірменка,68
Кава по-східному Супер бленд Діема,70
Кава по-східному без кофеїну,68
"Чорний, зелений, фруктовий, трав'яний",78
Еспресо,56
Американо,65
Капучіно,70
Лате,82
Флет-Вайт,85
Глясе класичне,78
Гарячий шоколад з дробленим горіхом та бізе,96
Какао,70
Капучіно на кокосовому молоці,86
Капучіно на мигдалевому молоці,86
Лате на кокосовому молоці,95
Лате на мигдалевому молоці,95
Капучіно на безлактозному молоці,78
Лате на безлактозному молоці,89
Какао на безлактозному молоці,78
Кава глясе Старий Львів,79
Кава глясе Тірамісу,79
Какао на кокосовому молоці,79
Флет-Вайт на безлактозному молоці,86
Флет-Вайт на кокосовому молоці,86
Какао на мигдалевому молоці,86
Коктейль ягідний,86
Коктейль молочний,86
Морс Ягідний,68
Сік Яблучно-грушевий,80
Сік Яблучно-вишневий,80
Сік Яблучний,80
"Напої Вода мінеральна, н/г",28
Вода Моршинська слабогазована 0.33л,72
Кока кола 0.33л,65
Вода Моршинська негазована 0.33л,70
Молоко до кави,15
Молоко безлактозне,22
Молоко мигдальне,30
Молоко кокосове,29
Кардамон/ кориця,10
Лимон до чаю,15
Австрійський Захер,98
Торт Трюфельний,108
Чізкейк орео,98
Горіхово-кавовий,98
Мусово-полуничний / 100 г,118
Ягідний чізкейк Смак літа / 100г,108
Торт чорниця-лимон,118
Яблучний від Мами,98
Медівник з чорносливом,98
П'яна вишня,118
Сирник Львівський,108
Наполеон,98
Шоколадний Спартак,108
Пляцок маковий без борошна,118
Кіш з шпинатом та сиром під сметанковим соусом,118
"Макарон: Лімончелло, Кавовий, Мохіто, Дорблю",52
Безе карамельне,22
Кавове зернятко,138
Джаз Лайм,98
Десерт Павлова,98
Тріо карамелізованих горішків у хрумкому декорі,48
Панський горішок з фундуком та карамелью,42
Тарта з лимонним курдом,98
Фісташковий мус з малиновим кюлі,98
Зефір ягідний,48
Піна Колада,98
Вулкан/шт,118
Шу з полуницею / шт,52
Шу з ваніллю / шт,52
Шу з чорницею / шт,52
Тістечко вишенька,128
Ромова Баба,268
Панакота з вишневим соусом,98
Ромова Баба порція,72
Печиво Мигдально-цукрове,108
Печиво з журавлиною,62
Печиво апельсинове різдвяне Ялиночка,42
Печиво шоколадне Святкове,42
"Рогалики з вишнею, 100г",62
"Набір ""Тріо горішки""",248
"Набір ""Печиво мигдально-цукрове""",128
"Вівсяне печиво з яблуком, журавлиною та родзинками без цукру",48
Метеорит (класичний),32
"Цукерки Грильяж, 1 шт",38
Шоколад,25
Додаток джем,25
Додаток Горіх грецький,25
Морозиво ванільне,48
Лікери Вірменка в асортименті,56
Дегустаційна дошка лікерів 4*30мл,138
Наливки зі Львова в асортименті,56
Дегустаційна дошка наливок 4*30мл,138
Горілка Абсолютний стандарт Преміум,48
Коньяк Закарпатський,89
Коньяк Арарат 5*,98
Старий талін,89
Старий талін крема,98
Наливки зі Львова 40-50% об./700мл,498
Наливки зі Львова 40-50% об./500мл,286
Наливки зі Львова 27-40%об./500мл,268
Наливки зі Львова 27% об./500мл,268
Лікери Вірменка та Старий Львів/700мл,486
Лікери Вірменка та Старий Львів/200мл,142
Лікери Вірменка та Старий Львів/375мл,278
Наливки зі Львова 27-50% об./200мл,138
