,Date,Close/Last
0,2024-09-05,5503.41
1,2024-09-04,5520.07
2,2024-09-03,5528.93
3,2024-08-30,5648.4
4,2024-08-29,5591.96
5,2024-08-28,5592.18
6,2024-08-27,5625.8
7,2024-08-26,5616.84
8,2024-08-23,5634.61
9,2024-08-22,5570.64
10,2024-08-21,5620.85
11,2024-08-20,5597.12
12,2024-08-19,5608.25
13,2024-08-16,5554.25
14,2024-08-15,5543.22
15,2024-08-14,5455.21
16,2024-08-13,5434.43
17,2024-08-12,5344.39
18,2024-08-09,5344.16
19,2024-08-08,5319.31
20,2024-08-07,5199.5
21,2024-08-06,5240.03
22,2024-08-05,5186.33
23,2024-08-02,5346.56
24,2024-08-01,5446.68
25,2024-07-31,5522.3
26,2024-07-30,5436.44
27,2024-07-29,5463.54
28,2024-07-26,5459.1
29,2024-07-25,5399.22
30,2024-07-24,5427.13
31,2024-07-23,5555.74
32,2024-07-22,5564.41
33,2024-07-19,5505.0
34,2024-07-18,5544.59
35,2024-07-17,5588.27
36,2024-07-16,5667.2
37,2024-07-15,5631.22
38,2024-07-12,5615.35
39,2024-07-11,5584.54
40,2024-07-10,5633.91
41,2024-07-09,5576.98
42,2024-07-08,5572.85
43,2024-07-05,5567.19
44,2024-07-03,5537.02
45,2024-07-02,5509.01
46,2024-07-01,5475.09
47,2024-06-28,5460.48
48,2024-06-27,5482.87
49,2024-06-26,5477.9
50,2024-06-25,5469.3
51,2024-06-24,5447.87
52,2024-06-21,5464.62
53,2024-06-20,5473.17
54,2024-06-18,5487.03
55,2024-06-17,5473.23
56,2024-06-14,5431.6
57,2024-06-13,5433.74
58,2024-06-12,5421.03
59,2024-06-11,5375.32
60,2024-06-10,5360.79
61,2024-06-07,5346.99
62,2024-06-06,5352.96
63,2024-06-05,5354.03
64,2024-06-04,5291.34
65,2024-06-03,5283.4
66,2024-05-31,5277.51
67,2024-05-30,5235.48
68,2024-05-29,5266.95
69,2024-05-28,5306.04
70,2024-05-24,5304.72
71,2024-05-23,5267.84
72,2024-05-22,5307.01
73,2024-05-21,5321.41
74,2024-05-20,5308.13
75,2024-05-17,5303.27
76,2024-05-16,5297.1
77,2024-05-15,5308.15
78,2024-05-14,5246.68
79,2024-05-13,5221.42
80,2024-05-10,5222.68
81,2024-05-09,5214.08
82,2024-05-08,5187.67
83,2024-05-07,5187.7
84,2024-05-06,5180.74
85,2024-05-03,5127.79
86,2024-05-02,5064.2
87,2024-05-01,5018.39
88,2024-04-30,5035.69
89,2024-04-29,5116.17
90,2024-04-26,5099.96
91,2024-04-25,5048.42
92,2024-04-24,5071.63
93,2024-04-23,5070.55
94,2024-04-22,5010.6
95,2024-04-19,4967.23
96,2024-04-18,5011.12
97,2024-04-17,5022.21
98,2024-04-16,5051.41
99,2024-04-15,5061.82
100,2024-04-12,5123.41
101,2024-04-11,5199.06
102,2024-04-10,5160.64
103,2024-04-09,5209.91
104,2024-04-08,5202.39
105,2024-04-05,5204.34
106,2024-04-04,5147.21
107,2024-04-03,5211.49
108,2024-04-02,5205.81
109,2024-04-01,5243.77
110,2024-03-28,5254.35
111,2024-03-27,5248.49
112,2024-03-26,5203.58
113,2024-03-25,5218.19
114,2024-03-22,5234.18
115,2024-03-21,5241.53
116,2024-03-20,5224.62
117,2024-03-19,5178.51
118,2024-03-18,5149.42
119,2024-03-15,5117.09
120,2024-03-14,5150.48
121,2024-03-13,5165.31
122,2024-03-12,5175.27
123,2024-03-11,5117.94
124,2024-03-08,5123.69
125,2024-03-07,5157.36
126,2024-03-06,5104.76
127,2024-03-05,5078.65
128,2024-03-04,5130.95
129,2024-03-01,5137.08
130,2024-02-29,5096.27
131,2024-02-28,5069.76
132,2024-02-27,5078.18
133,2024-02-26,5069.53
134,2024-02-23,5088.8
135,2024-02-22,5087.03
136,2024-02-21,4981.8
137,2024-02-20,4975.51
138,2024-02-16,5005.57
139,2024-02-15,5029.73
140,2024-02-14,5000.62
141,2024-02-13,4953.17
142,2024-02-12,5021.84
143,2024-02-09,5026.61
144,2024-02-08,4997.91
145,2024-02-07,4995.06
146,2024-02-06,4954.23
147,2024-02-05,4942.81
148,2024-02-02,4958.61
149,2024-02-01,4906.19
150,2024-01-31,4845.65
151,2024-01-30,4924.97
152,2024-01-29,4927.93
153,2024-01-26,4890.97
154,2024-01-25,4894.16
155,2024-01-24,4868.55
156,2024-01-23,4864.6
157,2024-01-22,4850.43
158,2024-01-19,4839.81
159,2024-01-18,4780.94
160,2024-01-17,4739.21
161,2024-01-16,4765.98
162,2024-01-12,4783.83
163,2024-01-11,4780.24
164,2024-01-10,4783.45
165,2024-01-09,4756.5
166,2024-01-08,4763.54
167,2024-01-05,4697.24
168,2024-01-04,4688.68
169,2024-01-03,4704.81
170,2024-01-02,4742.83
171,2023-12-29,4769.83
172,2023-12-28,4783.35
173,2023-12-27,4781.58
174,2023-12-26,4774.75
175,2023-12-22,4754.63
176,2023-12-21,4746.75
177,2023-12-20,4698.35
178,2023-12-19,4768.37
179,2023-12-18,4740.56
180,2023-12-15,4719.19
181,2023-12-14,4719.55
182,2023-12-13,4707.09
183,2023-12-12,4643.7
184,2023-12-11,4622.44
185,2023-12-08,4604.37
186,2023-12-07,4585.59
187,2023-12-06,4549.34
188,2023-12-05,4567.18
189,2023-12-04,4569.78
190,2023-12-01,4594.63
191,2023-11-30,4567.8
192,2023-11-29,4550.58
193,2023-11-28,4554.89
194,2023-11-27,4550.43
195,2023-11-24,4559.34
196,2023-11-22,4556.62
